Unnamed: 0,qid,timestamp,ramsey_estimate,overrot,axis,T1,T2
,Q2,1731704729.2410822,-0.0878571166109596,-1.0432005904036494,0.0071729143318409,4e-05,-9e-06
,Q0,1731706202.9467137,1.0917480146443737,-0.0988444762043203,0.4707677870872863,1.0,-0.007
,Q1,1731706366.335384,-1.89485766774346,0.6208345915611726,0.7642785337248257,0.0004,-0.0002
,Q2,1731706529.4752028,-0.0045158552190138,-1.0501810756794974,0.0085887143039913,5e-05,0.0005
,Q0,1731708002.928537,-2.4951050738710023,-0.0768186911648054,0.4536739958734906,-0.0002,0.0005
,Q1,1731708194.2389398,2.844001854985536,-2.5147043628171453,-0.59247263920505,-0.3,0.001
,Q2,1731708357.3675566,-0.0204022762361644,-1.1019449753628583,0.0634218452250694,-1.0,-7e-05
,Q0,1731709802.7875574,0.9396404978994628,-0.5577148181818126,-0.6268269626659594,0.9,-1e-05
,Q1,1731709993.4493413,-1.3818286061364882,0.3173390671815128,-0.4919018850347414,-0.05,0.0002
,Q2,1731710156.6411052,-0.0004613663742869,-1.0208782072539615,0.001086389053614,0.9,8e-05
,Q0,1731711602.1349409,0.7464994564031908,-0.0927735790777422,0.1905596685781916,1.0,-0.001
,Q1,1731711765.5415769,0.6437158590165719,0.6983998389214874,0.5925922052471065,1.0,0.003
,Q2,1731711928.7195666,-0.0003485838451919,-1.0013250740407955,0.0006022096479396,-0.6,-0.0002
,Q0,1731713402.4297378,-1.9341174971357589,-2.70429390995258,0.3646962065437472,-1.0,0.0003
,Q1,1731713565.838748,-2.796013832910578,0.1192026026287058,0.4476821534120893,0.7,3e-05
,Q2,1731713729.0674963,-0.0005005572618497,-1.08920164628521,0.000701655273562,-0.3,-0.0001
,Q0,1731715202.8581572,1.444556344289614,-2.609645721800955,-0.7008058606940396,-0.0001,0.0003
,Q1,1731715366.2486238,-1.9599038848360912,-0.1221402532289444,0.6148820506731629,0.6,0.0001
,Q2,1731715529.4215765,-0.299937913585067,0.3589619426506749,-0.000506990659875,0.2,0.0002
,Q0,1731717002.9202142,-2.356194490192345,-0.5532273497049323,-0.5989907325999376,-0.8,0.0009
,Q1,1731717166.3057275,1.7846389969637055,-0.1305577700722783,0.2790460050945293,0.6,0.0002
,Q2,1731717329.4770718,-0.0418813862597176,-1.0134258410278385,0.0022259419881266,-1.0,2e-05
,Q0,1731718802.080303,1.2130197700545438,-0.1999266424686511,0.3861516813202318,-0.09,4e-05
,Q1,1731718965.810144,0.6976526654552337,-2.477641339341476,-0.156448489216443,9e-05,0.002
,Q2,1731719129.233647,0.9442171598028022,-0.213859221172297,0.3948917439152015,1.0,-0.0002
,Q0,1731720602.1605344,-2.6738507791835406,-2.6786755119948937,0.4538936219660185,0.7,0.0005
,Q1,1731720765.1459324,0.978519101461922,-0.657435052921079,0.2041313814440875,1.0,-0.0003
,Q2,1731720928.025605,-0.0004293049338168,-1.0017804458245774,0.0007590339761622,-0.9,-0.0001
,Q0,1731722402.1251218,1.2238407535319258,-0.6221683603292921,-0.5096922325940632,3.0,0.0002
,Q1,1731722565.6501887,1.2497302346674868,-0.2364630652954988,0.9481448515981736,-0.7,-0.0001
,Q2,1731722728.5483449,-0.003758788032961,-1.0012866515011103,0.0036611569982666,-2.0,8e-05
,Q0,1731724202.5247707,1.300034090696613,-0.126986379082163,0.507243480573079,0.5,0.0006
,Q1,1731724366.1620595,1.142791513575336,-0.2812815708757514,1.4215090360206002,0.7,6e-05
,Q2,1731724529.144493,0.5614988853307015,-0.370311050213458,-0.6401447789006766,1.0,-0.002
